Probability,Senior Citizen,Married,Dependents,Number of Dependents,Referred a Friend,Number of Referrals,Tenure in Months,Phone Service,Multiple Lines,Internet Service,Internet Cable,Internet DSL,Internet Fiber Optic,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract Month to Month,Contract One Year,Contract Two Year,Paperless Billing,Bank Withdrawal,Credit Card,Mailed Check,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,CLTV,Satisfaction Score
0.0014,0,1,1,1,1,3,69,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0.0,11,39.1,2779.5,0.0,0,0.0,2779.5,5987,3
0.1,0,0,0,0,0,0,58,1,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,32.67,14,99.15,5720.95,0.0,0,1894.86,7615.81,6409,3
0.0659,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,34.26,0,21.05,113.85,0.0,0,171.29999999999998,285.15,2604,3
0.0006,0,0,0,0,0,0,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,44.69,0,20.55,945.7,0.0,0,2100.43,3046.13,5404,4
0.0003,0,1,0,0,1,9,70,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,5.46,30,104.3,7188.5,0.0,30,382.2,7600.7,5583,4
0.9994,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,20.55,5,73.0,73.0,0.0,0,20.55,93.55,4116,1
0.9995,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,39.81,23,70.9,70.9,0.0,0,39.81,110.71,4739,1
0.0006,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,41.9,71,45.55,84.4,0.0,10,83.8,178.2,4372,5
0.0001,0,1,0,0,1,3,72,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0.0,16,60.0,4264.0,25.67,0,0.0,4238.33,5471,4
0.9996,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,14.58,73,53.5,53.5,0.0,0,14.58,68.08,5094,1
0.9993,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,11.73,24,45.6,45.6,0.0,0,11.73,57.33,3037,1
0.4218,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,29.1,0,19.85,19.85,0.0,0,29.1,48.95,4840,3
0.0003,0,0,0,0,0,0,6,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,10.88,8,59.45,357.6,0.0,0,65.28,422.88,2393,4
0.0001,0,1,1,1,1,3,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,37.9,0,20.05,284.3,0.0,0,568.5,852.8,3591,4
0.0056,0,1,0,0,1,7,56,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0,46.9,48,100.55,5514.95,0.0,0,2626.4,8141.35,4847,3
0.9988,1,1,0,0,1,3,37,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,49.37,4,92.5,3473.4,0.0,0,1826.69,5300.09,4127,1
0.999,0,1,0,0,1,1,41,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,5.01,10,113.6,4594.95,0.0,0,205.41,4800.36,4963,1
0.0004,0,1,1,3,1,8,9,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,0,23.42,30,102.6,897.75,0.0,0,210.78000000000003,1108.53,4062,5
0.0,0,1,1,1,1,6,25,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,37.97,22,54.3,1296.8,0.0,0,949.25,2246.05,3971,4
0.0006,0,1,1,2,1,7,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4.26,0,20.0,218.55,0.0,0,55.38,273.93,5651,3
0.0001,0,1,1,1,1,5,40,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,14.41,22,85.05,3355.65,38.15,0,576.4,3893.9,5904,4
0.9997,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,49.24,8,69.65,69.65,0.0,0,49.24,118.89,2418,2
0.1945,0,0,0,0,0,0,19,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1.79,14,73.85,1424.5,0.0,130,34.01,1588.51,2251,3
0.0008,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,9.19,0,20.05,299.3,0.0,0,128.66,427.96,5728,5
0.0007,0,0,0,0,0,0,3,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,44.97,16,82.3,214.4,0.0,20,134.91,369.31,5755,4
0.004,0,0,0,0,0,0,51,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,27.3,13,86.35,4267.15,0.0,0,1392.3,5659.45,5311,3
0.0004,0,0,0,0,0,0,32,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,0,14.21,28,104.05,3416.85,0.0,0,454.72,3871.57,2335,4
0.9988,0,0,0,0,0,0,32,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,27.69,73,108.15,3432.9,0.0,0,886.08,4318.9800000000005,2541,1
0.0,0,1,1,2,1,6,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,46.91,0,20.2,382.2,0.0,0,891.29,1273.49,3636,4
0.0011,0,1,0,0,1,7,36,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0.0,24,60.7,2234.55,0.0,0,0.0,2234.55,3671,3
0.0009,0,0,0,0,0,0,12,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,18.75,25,86.55,1066.9,0.0,110,225.0,1401.9,2061,5
0.0004,0,0,0,0,0,0,22,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,30.35,10,78.85,1600.25,0.0,50,667.7,2317.95,2444,5
0.9996,0,1,0,0,1,1,47,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,37.74,7,107.35,5118.95,0.0,0,1773.7800000000002,6892.73,3620,2
0.0004,0,0,0,0,0,0,43,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1.6,19,55.45,2444.25,0.0,130,68.8,2643.05,3350,4
0.0001,0,1,1,3,1,6,54,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,8.53,73,60.0,3273.95,0.0,0,460.62,3734.57,4798,3
0.0009,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10.21,0,20.9,20.9,0.0,0,10.21,31.11,3901,5
0.4907,0,1,0,0,1,1,20,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.0,10,24.45,482.8,0.0,0,0.0,482.8,3298,3
0.9989,0,0,0,0,0,0,29,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0.0,22,25.1,712.85,0.0,0,0.0,712.85,2796,1
0.9995,0,0,0,0,0,0,4,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,33.65,30,73.9,280.85,0.0,0,134.6,415.4500000000001,4479,1
0.1587,0,0,0,0,0,0,35,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,45.62,59,95.5,3418.2,0.0,0,1596.6999999999998,5014.9,3715,3
0.0002,0,1,1,2,1,1,70,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0.0,19,58.4,4113.15,32.53,0,0.0,4080.619999999999,4117,5
0.9995,0,1,0,0,1,1,11,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,24.83,30,44.05,483.7,0.0,0,273.13,756.8299999999999,3200,1
0.0009,0,0,0,0,0,0,22,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,11.46,16,83.05,1799.3,0.0,0,252.12,2051.42,5357,4
0.0002,0,1,0,0,1,2,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,22.89,0,20.7,587.1,0.0,0,686.7,1273.8000000000002,2492,5
0.0001,1,0,1,1,0,0,11,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,11.86,23,54.55,601.25,0.0,0,130.45999999999998,731.71,4143,4
0.0003,0,1,0,0,1,4,70,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,5.77,48,108.15,7930.55,0.0,0,403.9,8334.45,5192,4
0.0002,0,0,0,0,0,0,37,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,42.41,4,78.9,2976.95,0.0,30,1569.1699999999998,4576.12,3801,4
0.0002,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,41.51,0,19.05,326.65,0.0,0,664.16,990.81,4336,5
0.0003,1,1,0,0,1,2,65,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,38.32,25,94.4,6126.15,0.0,0,2490.8,8616.95,5348,4
