Churn,Senior Citizen,Married,Dependents,Monthly Charge,Satisfaction Score,Number of Referrals,Premium Features,Paperless Billing,Contract Month to Month,Contract One Year,Contract Two Year Plus
1,1,0,0,39.65,3,0,0,1,1,0,0
1,1,1,1,80.65,3,1,0,1,1,0,0
1,1,0,1,95.45,2,0,0,1,1,0,0
1,1,1,1,98.5,2,1,0,1,1,0,0
1,1,1,1,76.5,2,1,0,1,1,0,0
1,1,0,1,78.05,1,0,0,1,1,0,0
1,1,1,1,70.45,2,1,0,1,1,0,0
1,1,1,0,45.3,1,6,0,1,1,0,0
1,1,0,1,74.45,2,0,0,1,1,0,0
1,1,0,1,76.45,2,0,0,0,1,0,0
1,1,0,1,95.0,1,0,0,1,1,0,0
1,1,0,0,74.4,1,0,0,1,1,0,0
1,1,1,0,40.2,2,1,0,0,1,0,0
1,1,0,0,41.15,2,0,0,1,1,0,0
1,1,0,0,106.9,1,0,0,1,1,0,0
1,1,0,0,94.45,1,0,1,1,1,0,0
1,1,0,0,74.5,2,0,0,1,1,0,0
1,1,0,0,76.1,2,0,0,1,1,0,0
1,1,0,0,95.45,3,0,0,1,1,0,0
1,1,1,0,74.9,2,2,0,1,1,0,0
1,1,1,0,93.15,2,1,0,1,1,0,0
1,1,0,0,82.45,1,0,1,0,0,1,0
1,1,0,0,70.35,3,0,0,1,1,0,0
1,1,0,0,41.9,1,0,0,1,1,0,0
1,1,1,0,30.75,1,0,0,0,1,0,0
1,1,1,0,19.95,1,1,0,0,1,0,0
1,1,1,0,85.45,1,2,0,1,1,0,0
1,1,0,0,81.35,1,0,0,1,1,0,0
1,1,0,0,75.3,2,0,0,1,1,0,0
1,1,0,0,28.45,2,0,0,0,1,0,0
1,1,0,0,94.1,1,0,0,1,1,0,0
1,1,1,0,74.35,1,4,0,1,1,0,0
1,1,1,0,75.2,1,2,0,1,1,0,0
1,1,0,0,89.2,1,0,0,1,1,0,0
1,1,0,0,85.7,1,0,0,1,1,0,0
1,1,1,0,105.25,1,3,0,0,1,0,0
1,1,1,0,90.05,2,3,0,0,1,0,0
1,1,1,0,110.75,2,1,1,1,1,0,0
1,1,1,0,104.55,1,0,0,1,0,1,0
1,1,1,0,94.55,1,7,0,1,1,0,0
1,1,0,0,89.5,2,0,0,0,1,0,0
1,1,0,0,19.65,2,0,0,0,1,0,0
1,1,0,0,49.15,2,0,0,1,1,0,0
1,1,0,0,49.25,2,0,0,1,1,0,0
1,1,1,0,94.5,3,1,0,1,1,0,0
1,1,0,0,91.7,1,0,0,0,1,0,0
1,1,0,0,98.55,3,0,0,1,1,0,0
1,1,0,0,110.0,1,0,0,1,0,1,0
1,1,1,0,95.6,3,1,0,1,1,0,0
1,1,0,0,78.85,3,0,0,1,1,0,0
1,1,0,0,100.0,3,0,0,1,0,1,0
1,1,1,0,73.65,1,1,0,1,1,0,0
1,1,0,0,100.5,1,0,0,1,1,0,0
1,1,0,0,72.85,1,0,0,1,1,0,0
1,1,1,0,73.55,2,0,0,1,1,0,0
1,1,0,0,79.4,1,0,0,1,1,0,0
1,1,0,0,84.6,1,0,0,1,1,0,0
1,1,0,0,99.05,1,0,0,1,1,0,0
1,1,0,0,44.95,2,0,0,0,1,0,0
1,1,0,0,100.3,1,0,1,0,1,0,0
1,1,1,0,30.35,1,2,0,1,1,0,0
1,1,1,0,103.75,1,1,0,1,0,1,0
